0.19293E-02 0.39387E-05 0.00000E+01 7660040 0 0 105506 0.54680E+08 0.00000E+01 0.19293E-02 0.00000E+01 0.00000E+01 0
1 0.0019464 3.6556e-05 10.624 5.1482 0.0019464
2 0.0019332 1.0696e-05 4.4263 0.99247 0.0019332
3 0.0019287 4.9423e-06 2.8991 0.77344 0.0019287
4 0.0018051 6.3167e-05 13.997 5.8798 0.0018051
5 0.0019227 1.7057e-05 5.0183 0.78483 0.0019227
6 0.0019265 9.0473e-06 3.7569 2.3956 0.0019265
7 0.0019152 2.5349e-05 7.4872 1.7055 0.0019152
8 0.0019381 1.2102e-05 4.9953 4.3705 0.0019381
9 0.0019307 4.2096e-06 2.4668 1.3413 0.0019307
10 0.0019982 6.7844e-05 13.581 6.042 0.0019982
11 0.0019143 1.4251e-05 4.2114 0.7564 0.0019143
12 0.0019391 9.9473e-06 4.1038 4.3215 0.0019391
<lo_statistics>
<cumulated_time> 233.99730700000003 </cumulated_time>
</lo_statistics>
