             1             1
             2            -1
             3             1
             4            -3
             5             1
             6            -5
7.04             1
7.05             1
7.07             1
7.08             1
             8            -7
9.16             1
9.17             1
9.22             1
9.23             1
9.25             1
9.26             1
            10             1
            11           -10
            12             1
            13           -12
            14             1
            15           -14
16.04             1
16.05             1
16.07             1
16.08             1
            17           -16
            18             1
            19             1
            20             1
            21             1
            22             1
            23             1
            24             1
            25             1
